basis,coins,total_notional,top1_coin,top1_share,top5_share,top10_share,hhi,gini
all_fill_notional,274,24312748916.18236,BTC,0.3406754893863192,0.7762453375332878,0.8608360258523255,0.18925969694221226,0.9539062112996732
ordinary_fill_notional,274,12105833877.880144,BTC,0.3770155692650227,0.8016636232228153,0.8778676059397408,0.21622660087261086,0.9573354318572547
adl_notional,162,2103347291.878044,BTC,0.2951918354728556,0.7659750676474093,0.8609875228113125,0.16359342794861426,0.9598147659775988
